ProcessName,SubjectUserName,@timestamp,host,Hostname,EventID,SubjectLogonId,ProcessId,LogonType,TargetLogonId,WorkstationName,IpAddress,TargetUserName,PrivilegeList,CommandLine,ParentProcessName,NewProcessId,is_remote_logon,was_elevated
C:\Windows\System32\svchost.exe,SCRANTON$,2020-05-02 03:20:49.429000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x594,10.0,0x13069a,SCRANTON,172.18.39.2,pbeesly,,,,,True,False
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:50.603000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:50.615000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:20:28.858000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61f4c6,-,10.0.1.10,WEC$,,,,,True,False
-,-,2020-05-02 03:20:45.165000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61f6ff,-,10.0.1.6,NASHUA$,,,,,True,False
-,-,2020-05-02 03:04:56.372000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5deba6,-,::1,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:05:20.753000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5df48c,-,10.0.1.10,WEC$,,,,,True,False
C:\Windows\System32\services.exe,NASHUA$,2020-05-02 03:05:28.238000+00:00,wec.internal.cloudapp.net,NASHUA.dmevals.local,4624,0x3e7,0x2d0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,NASHUA$,2020-05-02 03:05:28.451000+00:00,wec.internal.cloudapp.net,NASHUA.dmevals.local,4624,0x3e7,0x2d0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:01:41.950000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b65ff,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.953000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b66f9,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.956000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b67e1,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.965000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b689e,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.969000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6947,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.973000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6988,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.974000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b69d7,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.976000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6a11,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:41.980000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6a6e,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:42.986000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6b39,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:42.987000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6b86,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:42.989000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6bd8,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:42.991000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5b6c0f,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:44.481000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x0,0x0,3.0,0x9d89a3,-,::1,SCRANTON$,,,,,True,True
-,-,2020-05-02 03:01:51.259000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2914,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.260000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c29c5,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.260000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2a05,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.260000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2a5c,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.260000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2a92,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.260000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2adf,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.261000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2b30,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.261000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2b7f,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.261000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2bd9,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.261000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c2c0f,-,-,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.261000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c4121,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:01:51.550000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c452a,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:01:51.550000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c479b,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:01:51.550000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c4ce6,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:01:51.556000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c69bf,-,fe80::e40c:95b6:b0a7:6429,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.556000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c6ae2,-,::1,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:01:51.556000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5c6b2d,-,10.0.0.4,NEWYORK$,,,,,True,True
